City,district,extern,foreigner,moving,high_contact,low_contact,social_distancing,traffic_in,emphasize
Hanoi,Ba Dinh,60,100,60,60,100,100,0,100
Hanoi,Bac Tu Liem,30,60,60,30,60,100,0,100
Hanoi,Cau Giay,60,100,60,60,100,100,0,100
Hanoi,Dong Da,60,60,60,100,100,100,0,100
Hanoi,Ha Dong,30,60,60,60,100,100,0,100
Hanoi,Hai Ba Trung,100,60,60,100,100,100,0,100
Hanoi,Hoan Kiem,100,100,100,60,100,100,0,100
Hanoi,Hoang Mai,30,30,60,30,60,100,0,100
Hanoi,Long Bien,60,100,60,60,60,100,0,100
Hanoi,Nam Tu Liem,60,60,30,30,100,100,0,100
Hanoi,Tay Ho,100,100,100,60,60,100,0,100
Hanoi,Thanh Xuan,60,100,30,60,100,100,0,100
Hanoi,Son Tay ,30,0,30,30,30,100,0,100
Hanoi,Ba Vi,30,0,0,30,0,100,0,100
Hanoi,Chuong My,0,0,0,30,0,100,0,100
Hanoi,Dan Phuong,0,0,0,30,0,100,0,100
Hanoi,Dong Anh,0,60,30,30,0,100,0,100
Hanoi,Gia Lam,0,30,30,30,30,100,0,100
Hanoi,Hoai Duc,30,0,0,30,0,100,0,100
Hanoi,Me Linh,30,30,30,30,30,100,0,100
Hanoi,My Duc,30,0,0,30,0,100,0,100
Hanoi,Phu Xuyen,0,0,0,0,0,100,0,100
Hanoi,Phuc Tho,0,0,0,30,0,100,0,100
Hanoi,Quoc Oai,0,0,0,30,0,100,0,100
Hanoi,Soc Son,0,30,0,30,0,100,0,100
Hanoi,Thach That,30,0,0,30,0,100,0,100
Hanoi,Thanh Oai,0,0,0,0,0,100,0,100
Hanoi,Thanh Tri,30,0,0,60,0,100,0,100
Hanoi,Thuong Tin,0,0,0,30,0,100,0,100
Hanoi,Ung Hoa,0,0,0,0,0,100,0,100
